iter	MultiClass
0	1.445692946
1	1.241496373
2	1.095057242
3	0.9834514843
4	0.896861749
5	0.8270971519
6	0.7660649315
7	0.7143910969
8	0.6710231556
9	0.633919124
10	0.6007741536
11	0.5725679692
12	0.5470583318
13	0.5236701842
14	0.5030561413
15	0.4847496186
16	0.4685154606
17	0.4537707789
18	0.4392615675
19	0.4269891707
20	0.415967025
21	0.4050064047
22	0.3953268092
23	0.3863645068
24	0.3785074051
25	0.3714653963
26	0.3659388439
27	0.3601407363
28	0.3550110348
29	0.3495394762
30	0.3449731619
31	0.3413265506
32	0.3379542421
33	0.3344769341
34	0.3309665964
35	0.3264030725
36	0.3234449244
37	0.3205808343
38	0.3182436924
39	0.3145043539
40	0.312675577
41	0.3099313017
42	0.3081284256
43	0.3050189239
44	0.3016451841
45	0.2993896677
46	0.2965695536
47	0.2952693742
48	0.2928844615
49	0.2914826765
50	0.2900889054
51	0.2879655355
52	0.2859521262
53	0.2847723299
54	0.282831554
55	0.2816529006
56	0.2784695204
57	0.2772324664
58	0.2758758375
59	0.2731202937
60	0.2723597062
61	0.2705434882
62	0.2696475761
63	0.2686094542
64	0.2676753106
65	0.267028193
66	0.2657063709
67	0.2641091161
68	0.2629994544
69	0.2623270674
70	0.2607583314
71	0.259651779
72	0.2581668842
73	0.2573341736
74	0.2567406131
75	0.2557087817
76	0.2551267967
77	0.2539452514
78	0.2532094681
79	0.2524404074
80	0.2517990191
81	0.2509201321
82	0.2504336692
83	0.249707383
84	0.2489204755
85	0.2481622652
86	0.2475076373
87	0.2468310658
88	0.2464072204
89	0.2459487588
90	0.2454207635
91	0.2449452037
92	0.2442793013
93	0.2438298983
94	0.2434671738
95	0.2428874248
96	0.242248933
97	0.2416022874
98	0.24103164
99	0.2399505511
100	0.2393780192
101	0.2391310121
102	0.2387754516
103	0.2383011856
104	0.2379647947
105	0.2374954977
106	0.2371353675
107	0.2365183494
108	0.2361467469
109	0.2358130979
110	0.2353517859
111	0.2349656534
112	0.234605414
113	0.2342336359
114	0.2336228904
115	0.2333606402
116	0.2330786154
117	0.2328506377
118	0.232531202
119	0.232275125
120	0.2318666932
121	0.2316018588
122	0.2313077279
123	0.2309067006
124	0.2306447955
125	0.2302184505
126	0.230016713
127	0.229632457
128	0.2293053209
129	0.2288395568
130	0.2285842158
131	0.2282376538
132	0.2280575324
133	0.2275275147
134	0.2272616819
135	0.2269895102
136	0.2266328201
137	0.2263737514
138	0.2260415648
139	0.2255217558
140	0.2252476196
141	0.224996088
142	0.2246658962
143	0.2242980944
144	0.2240711909
145	0.2237288177
146	0.2234802235
147	0.2232521596
148	0.2230617206
149	0.2228335775
150	0.2225731252
151	0.2223055478
152	0.2220463319
153	0.2217492484
154	0.2214913912
155	0.2212670422
156	0.2210331231
157	0.2207465594
158	0.220527731
159	0.2202922715
160	0.2200593577
161	0.2195536744
162	0.2194048515
163	0.2192004322
164	0.2189039015
165	0.2182837433
166	0.2180844148
167	0.2178033904
168	0.2175854072
169	0.2173690565
170	0.21715024
171	0.2169008501
172	0.2166579587
173	0.2165541393
174	0.2163503883
175	0.2161764649
176	0.2159845033
177	0.2157138814
178	0.215476544
179	0.2152475603
180	0.2149566177
181	0.2147408568
182	0.2145190552
183	0.2143532328
184	0.2141601188
185	0.2140060828
186	0.2138565062
187	0.2137075788
188	0.2135431437
189	0.2132958429
190	0.2131386713
191	0.2129898509
192	0.2127951234
193	0.2126025232
194	0.2124503908
195	0.2123293983
196	0.2121860933
197	0.2120405042
198	0.2118403475
199	0.2116795742
200	0.211508992
201	0.2113128367
202	0.2110726417
203	0.2109134784
204	0.2107593174
205	0.2105833075
206	0.2104433533
207	0.2103210524
208	0.2101571062
209	0.2099957922
210	0.2098143544
211	0.2096035138
212	0.2091203394
213	0.2089907382
214	0.2088291334
215	0.2085834186
216	0.2084212562
217	0.2082770149
218	0.2081249686
219	0.2080224914
220	0.2079078315
221	0.207719278
222	0.2074512916
223	0.2073311512
224	0.2071911302
225	0.2071250893
226	0.206939855
227	0.206804801
228	0.2066712457
229	0.206538836
230	0.2063751938
231	0.2062618022
232	0.2061444762
233	0.2059814308
234	0.2058757611
235	0.2057608634
236	0.2056572975
237	0.2054647381
238	0.2053433827
239	0.2052075377
240	0.2049936188
241	0.2048433667
242	0.2047026629
243	0.2045246111
244	0.2044036362
245	0.2042745873
246	0.204089517
247	0.2039461581
248	0.2038300429
249	0.2036769
250	0.2035191769
251	0.2034058845
252	0.2032739449
253	0.2031946757
254	0.2031260926
255	0.2030254435
256	0.2028296793
257	0.2027450856
258	0.2025843864
259	0.2024918489
260	0.2023705127
261	0.2021339539
262	0.2020166988
263	0.2018815866
264	0.2017344458
265	0.2015746288
266	0.2014361107
267	0.2013300759
268	0.201242011
269	0.2011333044
270	0.2009961638
271	0.2009105254
272	0.2008062037
273	0.2007465901
274	0.2006036688
275	0.2005092294
276	0.2004134971
277	0.2003019137
278	0.200134577
279	0.2000541561
280	0.1999042352
281	0.1997773934
282	0.1996709591
283	0.1994638197
284	0.1993737659
285	0.1992846096
286	0.1991687051
287	0.1990268572
288	0.1989285535
289	0.1988359651
290	0.1987094433
291	0.1985628222
292	0.1984121857
293	0.1983221191
294	0.1982331663
295	0.1980863067
296	0.1979827111
297	0.1978773627
298	0.1977784013
299	0.1976528158
942397863
