iter	Passed	Remaining
0	655	19605111	1080	161031
2	1555	154039
3	2063	152674
4	2536	149650
5	2991	146574
6	3399	142296
7	4007	146259
8	4541	146844
9	4976	144306
10	5384	141460
11	5793	139043
12	6222	137373
13	6610	135046
14	6980	132637
15	7413	131590
16	7879	131167
17	8251	129267
18	8668	128204
19	9086	127204
20	9490	126086
21	9899	125098
22	10386	125094
23	10815	124383
24	11253	123784
25	11636	122635
26	11994	121278
27	12353	120004
28	12878	120351
29	13286	119580
30	13834	120045
31	14237	119242
32	14643	118480
33	14963	117064
34	15352	116237
35	15865	116343
36	16323	116029
37	16814	115932
38	17167	114889
39	17619	114526
40	18031	113909
41	18375	112880
42	18816	112462
43	19525	113604
44	19970	113167
45	20598	113739
46	20969	112879
47	21509	112926
48	21889	112126
49	22194	110973
50	22683	110747
51	23053	109947
52	23515	109593
53	23741	108154
54	24092	107321
55	24344	106073
56	24715	105365
57	25107	104760
58	25485	104102
59	25780	103122
60	26194	102630
61	26641	102270
62	26989	101532
63	27313	100719
64	27626	99879
65	27941	99065
66	28250	98245
67	28636	97702
68	28965	96972
69	29215	95994
70	29580	95406
71	29914	94728
72	30248	94058
73	30591	93426
74	30830	92492
75	31139	91780
76	31416	90985
77	31807	90527
78	32082	89749
79	32466	89282
80	32855	88830
81	33185	88223
82	33531	87667
83	33855	87056
84	34247	86626
85	34561	86001
86	35021	85743
87	35383	85242
88	35755	84769
89	36028	84066
90	36345	83474
91	36677	82922
92	37069	82510
93	37418	82001
94	37707	81368
95	38308	81406
96	38686	80963
97	39172	80743
98	40057	81329
99	40624	81249
100	41042	80866
101	41494	80547
102	41823	79991
103	42180	79494
104	42497	78923
105	42851	78427
106	43194	77912
107	43651	77602
108	43988	77080
109	44269	76464
110	44733	76167
111	45532	76429
112	45895	75951
113	46589	76014
114	46953	75533
115	47327	75071
116	47690	74593
117	48166	74290
118	48400	73617
119	48743	73115
120	49071	72593
121	49385	72054
122	49755	71599
123	50421	71566
124	51105	71547
125	51502	71122
126	52031	70877
127	52328	70317
128	52656	69800
129	53140	69491
130	53514	69038
131	53864	68554
132	54114	67948
133	54495	67509
134	54907	67108
135	55275	66655
136	55590	66139
137	55948	65678
138	56317	65230
139	56748	64855
140	57047	64329
141	57378	63844
142	57704	63354
143	58075	62915
144	58476	62509
145	58871	62097
146	59172	61587
147	59469	61076
148	59747	60549
149	60008	60008
150	60502	59700
151	60827	59226
152	61149	58751
153	61544	58347
154	61933	57937
155	62232	57444
156	62521	56946
157	62870	56504
158	63366	56192
159	63590	55642
160	63858	55132
161	64147	54644
162	64458	54176
163	64646	53609
164	65061	53231
165	65367	52766
166	65631	52269
167	65919	51793
168	66190	51307
169	66506	50858
170	66821	50408
171	67141	49965
172	67394	49474
173	67621	48967
174	67874	48481
175	68088	47971
176	68325	47480
177	68583	47006
178	68812	46515
179	69078	46052
180	69306	45566
181	69520	45074
182	69811	44633
183	70052	44163
184	70272	43683
185	70501	43210
186	70704	42725
187	70884	42228
188	71079	41744
189	71277	41266
190	71506	40807
191	71689	40325
192	71865	39842
193	72082	39385
194	72301	38931
195	72551	38496
196	72781	38053
197	73012	37612
198	73171	37137
199	73401	36700
200	73642	36271
201	73868	35837
202	74086	35400
203	74330	34979
204	74581	34562
205	74763	34115
206	74943	33670
207	75169	33248
208	75319	32794
209	75583	32392
210	75742	31948
211	75862	31490
212	76053	31064
213	76186	30617
214	76317	30172
215	76476	29740
216	76627	29309
217	76781	28880
218	76972	28469
219	77084	28030
220	77267	27620
221	77405	27196
222	77593	26792
223	77736	26375
224	77861	25953
225	77983	25534
226	78117	25121
227	78294	24724
228	78483	24333
229	78655	23938
230	78805	23539
231	78975	23147
232	79103	22746
233	79245	22351
234	79390	21959
235	79557	21574
236	79699	21185
237	79854	20802
238	80005	20419
239	80125	20031
240	80290	19656
241	80430	19276
242	80579	18901
243	80762	18535
244	80906	18162
245	81027	17786
246	81198	17423
247	81369	17061
248	81506	16694
249	81658	16331
250	81750	15959
251	81872	15594
252	81939	15222
253	82040	14857
254	82113	14490
255	82190	14126
256	82271	13765
257	82341	13404
258	82431	13049
259	82547	12699
260	82620	12345
261	82733	11999
262	82862	11657
263	82940	11310
264	83017	10964
265	83102	10622
266	83214	10284
267	83285	9944
268	83424	9613
269	83491	9276
270	83559	8941
271	83639	8609
272	83709	8278
273	83798	7951
274	83907	7627
275	84012	7305
276	84093	6982
277	84212	6664
278	84295	6344
279	84370	6026
280	84459	5710
281	84557	5397
282	84623	5083
283	84706	4772
284	84786	4462
285	84862	4154
286	84938	3847
287	85022	3542
288	85099	3239
289	85168	2936
290	85252	2636
291	85332	2337
292	85434	2041
293	85502	1744
294	85588	1450
295	85670	1157
296	85760	866
297	85817	575
298	85913	287
299	85988	0
